,customerid,bank_branch_clients,systemloanid,loannumber,loanamount,totaldue,termdays,good_bad_flag,referred,realage,TipoInteresAhora,bank_account_Current,bank_account_Other,bank_account_Savings,level_of_education_clients_Graduate,level_of_education_clients_Post-Graduate,level_of_education_clients_Primary,level_of_education_clients_Secondary,level_of_education_clients_Unknown,bank_name_client_Access Bank,bank_name_client_Diamond Bank,bank_name_client_EcoBank,bank_name_client_FCMB,bank_name_client_Fidelity Bank,bank_name_client_First Bank,bank_name_client_GT Bank,bank_name_client_Heritage Bank,bank_name_client_Keystone Bank,bank_name_client_Skye Bank,bank_name_client_Stanbic IBTC,bank_name_client_Standard Chartered,bank_name_client_Sterling Bank,bank_name_client_UBA,bank_name_client_Union Bank,bank_name_client_Unity Bank,bank_name_client_Wema Bank,bank_name_client_Zenith Bank,employment_status_client_Contract,employment_status_client_Permanent,employment_status_client_Retired,employment_status_client_Self-Employed,employment_status_client_Student,employment_status_client_Unemployed,employment_status_client_Unknown,number_of_Loans,accumlated_loan_given,accumlated_timediff,time-to-payoff,accumulated_money_won,is_late_for_firstpay
0,8a858e135cb22031015cbafc76964ebd,0.0,301964962.0,2.0,10000.0,13000.0,30.0,1.0,1.0,48.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,3667000000000.0,1300528000000000.0,1500.0,0.0
1,8a858e275c7ea5ec015c82482d7c3996,0.0,301972172.0,2.0,10000.0,13000.0,30.0,0.0,0.0,36.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0,3668000000000.0,2840792000000000.0,3000.0,1.0
2,8a858e5b5bd99460015bdc95cd485634,0.0,301976271.0,4.0,10000.0,13000.0,30.0,1.0,0.0,35.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,30000.0,10835000000000.0,5520142000000000.0,6000.0,1.0
3,8a858efd5ca70688015cabd1f1e94b55,0.0,301997763.0,2.0,10000.0,11500.0,15.0,1.0,0.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0,3668000000000.0,2873995000000000.0,1500.0,1.0
4,8a858ea05a859123015a8892914d15b7,0.0,301992494.0,6.0,20000.0,24500.0,30.0,1.0,0.0,31.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,70000.0,18098000000000.0,1.1796693e+16,18000.0,0.0
5,8a858f405d13c45f015d13dd93ec0c1c,0.0,302000213.0,2.0,10000.0,13000.0,30.0,1.0,0.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0,3613000000000.0,1387268000000000.0,3000.0,0.0
6,8a858f2a5ce989dd015ce9fc24b1474b,0.0,301966939.0,2.0,10000.0,13000.0,30.0,0.0,0.0,27.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,3671000000000.0,788001000000000.0,1500.0,0.0
7,8a858f3a5c10828d015c109746d20aee,0.0,301983781.0,2.0,10000.0,13000.0,30.0,1.0,0.0,51.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0,3668000000000.0,1284217000000000.0,3000.0,0.0
8,8a858fb4563228d201564fd7519f22a8,0.0,301960555.0,7.0,30000.0,34500.0,30.0,1.0,0.0,27.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,90000.0,21657000000000.0,1.1781571e+16,16200.0,1.0
9,8a858f955a61ad4e015a69ee1edd0d3d,0.0,301983384.0,5.0,20000.0,24500.0,30.0,1.0,0.0,36.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,50000.0,14436000000000.0,7131638000000000.0,10500.0,0.0
