number_of_Loans,customerid,accumlated_loan_given,accumlated_timediff,first-repay,time-to-payoff,accumulated_money_won
1,8a1088a0484472eb01484669e3ce4e0b,10000.0,3668000000000,592834000000000,1909970000000000,1500.0
4,8a1a1e7e4f707f8b014f797718316cad,70000.0,14491000000000,134315000000000,10959989000000000,19500.0
7,8a1a32fc49b632520149c3b8fdf85139,90000.0,25330000000000,76603000000000,11423404000000000,16500.0
8,8a1eb5ba49a682300149c3c068b806c7,130000.0,28932000000000,-1743041000000000,19933083000000000,32400.0
2,8a1edbf14734127f0147356fdb1b1eb2,20000.0,7275000000000,-605769000000000,3183293000000000,4500.0
9,8a26bd845089f1d7015090b1d6f53bad,120000.0,32504000000000,2774068000000000,24186977000000000,27050.0
11,8a2a81a74ce8c05d014cfb32a0da1049,200000.0,64942000000000,-364708000000000,28542902000000000,42900.0
7,8a2ac4745091002b0150a144bcbe58b7,160000.0,25339000000000,-1247308000000000,23293746000000000,35000.0
1,8a2ad9ce4c453e06014c4b3175e52407,20000.0,3668000000000,-203880000000000,2509338000000000,4500.0
8,8a33a06e4a5075c2014a5295aa0c2224,100000.0,28990000000000,-116094000000000,17919945000000000,24000.0
9,8a3442825124396701513514dad40fa7,160000.0,32492000000000,-929110000000000,13031633000000000,20700.0
8,8a390a2150ad97330150aebdd8ef7456,180000.0,28936000000000,112275000000000,18286064000000000,28350.0
1,8a399f284741b63b0147496a04db1eb4,10000.0,3668000000000,1716179000000000,4237692000000000,3000.0
2,8a688b474ed5e088014ed8b6c50c5f51,50000.0,7276000000000,-2245632000000000,2855343000000000,7500.0
15,8a6a96044539adf801453c576ed213c4,300000.0,54132000000000,-11150756000000000,15071272000000000,38775.0
1,8a6b87fe4d56512d014d57af446e7ad0,10000.0,3668000000000,-374939000000000,1154560000000000,1500.0
4,8a76e7d443e6e97c0143ed0a1f4d5331,40000.0,14433000000000,-1465074000000000,8977507000000000,11250.0
1,8a76e7d443e6e97c0143ed0a33375981,30000.0,3670000000000,-302181000000000,4094539000000000,9000.0
1,8a81890b51d31db90151d5fd989c1dbd,10000.0,3609000000000,2153913000000000,4873438000000000,3000.0
3,8a81894c529babae0152a10bafeb6895,75000.0,10884000000000,-529025000000000,7116139000000000,14750.0
1,8a8189a552638e13015264cf62312966,5000.0,3609000000000,-1177963000000000,1585699000000000,750.0
12,8a8189d152443f820152443f89500001,140000.0,43399000000000,12772661000000000,41876992000000000,33800.0
11,8a85880353acff880153b23e3c742a08,280000.0,39753000000000,-2716468000000000,19238179000000000,35000.0
15,8a85880353acff880153b3c9f0d641b0,420000.0,54264000000000,245517000000000,37623859000000000,60350.0
12,8a85880353acff880153b4d53d6b45db,243000.0,132740000000000,-391152000000000,33024680000000000,44500.0
14,8a85880353acff880153b4d9bf104630,385000.0,50541000000000,-319397000000000,33765963000000000,56950.0
10,8a85881053bc33670153c0ff6d6a38b9,155000.0,36095000000000,-2173010000000000,13256744000000000,18200.0
2,8a85881053bc33670153c1f814696fb8,20000.0,7222000000000,1187151000000000,4378347000000000,3000.0
2,8a85881053bc33670153c5ffe58162b8,20000.0,7215000000000,-528082000000000,4870626000000000,6000.0
9,8a85881053bc33670153c65bdb937097,84000.0,32476000000000,-3716574000000000,14596904000000000,16800.0
6,8a85881053bc33670153c762675d3e71,125000.0,21653000000000,-2715532000000000,12748376000000000,22550.0
7,8a85881053bc33670153c7a4d2685aa0,75000.0,25316000000000,-3029354000000000,13465336000000000,18375.0
11,8a85881053bc33670153c7b62bef61ca,190000.0,39845000000000,546762000000000,19800683000000000,28100.0
5,8a85881053bc33670153c842d8990da3,60000.0,18039000000000,-887460000000000,7040884000000000,9750.0
9,8a85881053bc33670153c9dc2e3a4393,195000.0,32507000000000,-493241000000000,27721700000000000,42900.0
6,8a85881053bc33670153cba1f98e6d19,110000.0,21711000000000,-2757336000000000,12892890000000000,20600.0
13,8a85881053bc33670153cc5a32432a14,265000.0,103150000000000,-3510401000000000,36308823000000000,53975.0
13,8a85881a5420ebf101543805f5fb4a09,330000.0,46985000000000,-2917924000000000,28635136000000000,43750.0
2,8a8588235375c27f01537601102f108c,20000.0,7215000000000,701138000000000,3276504000000000,3000.0
3,8a8588235375c27f015376d27f982c9e,30000.0,10908000000000,2878782000000000,8503583000000000,6000.0
9,8a8588235375c27f01537f6d1ad53cff,240000.0,32472000000000,-1480329000000000,21845718000000000,35400.0
5,8a8588235375c27f01537f79100c40c3,50000.0,18112000000000,2632296000000000,12343593000000000,10500.0
13,8a8588235375c27f01538446e3214790,130000.0,46911000000000,-3543772000000000,28665293000000000,28850.0
10,8a8588235384a58d01538abf515f2c2b,185000.0,36153000000000,331813000000000,18250190000000000,26587.5
2,8a8588235384a58d01538b5b8d49372c,20000.0,7276000000000,-2083031000000000,3244126000000000,6000.0
8,8a8588235384a58d01538faa46246121,180000.0,28910000000000,78211000000000,22967371000000000,38200.0
2,8a85882653bc51f50153c1b4a0127f64,20000.0,7214000000000,2791640000000000,7907518000000000,6000.0
2,8a85882653bc51f50153c7a562dc099d,20000.0,7216000000000,1912379000000000,6990999000000000,6000.0
11,8a85882653bc51f50153cb3de65e73d0,270000.0,39696000000000,2545627000000000,30869896000000000,45500.0
6,8a85882653bc51f50153cc4e2899446b,70000.0,21672000000000,190560000000000,13260943000000000,16500.0
10,8a85882653d0bb500153d632dca50043,195000.0,39295000000000,-1333051000000000,23637274000000000,33275.0
6,8a85882653e1a3e00153e1f8033b1233,125000.0,21704000000000,-276082000000000,15342088000000000,26200.0
6,8a85882653e2eb990153e6349161513e,140000.0,21674000000000,257339000000000,22135676000000000,31000.0
4,8a85882653e2eb990153e7a9eda325a7,40000.0,14444000000000,-1810815000000000,8846314000000000,12000.0
12,8a85882653e2eb990153e7b4c52d2815,330000.0,43323000000000,-800112000000000,30088852000000000,52000.0
9,8a85882653e2eb990153ec156fa2537f,180000.0,32488000000000,4552268000000000,21616579000000000,26150.0
7,8a85882653e2eb990153f0f8a8520c4b,148000.0,25319000000000,-1829032000000000,21143703000000000,29737.5
1,8a85882953bc04f80153bc198e5d0222,10000.0,3668000000000,-298380000000000,2250515000000000,3000.0
7,8a85882953bc04f80153c205b75d7403,120000.0,25281000000000,-5258122000000000,11069673000000000,25600.0
11,8a85882c546ba83501547619cd377b69,265000.0,39718000000000,-1723265000000000,34582938000000000,54650.0
8,8a85883353d0c4e90153dfca251168bc,140000.0,28864000000000,-880416000000000,19260994000000000,27800.0
9,8a85883353e2e4e40153ea9a790f4934,180000.0,32487000000000,461590000000000,23721970000000000,35900.0
14,8a85883353e2e4e40153f068a4634e02,280000.0,50609000000000,-2673943000000000,38043059000000000,55987.5
15,8a85884e548fad6501549a053d8a74fd,367000.0,57659000000000,-4112804000000000,28940100000000000,52575.0
1,8a85884e548fad6501549a9435d71e85,10000.0,3669000000000,-480456000000000,2326854000000000,2250.0
4,8a85884e548fad6501549b2ac62a44c6,70000.0,42273000000000,-715106000000000,5618522000000000,9750.0
3,8a85884e54a0565b0154b8e5e038630b,30000.0,10826000000000,212220000000000,6871481000000000,7500.0
2,8a85884e54a0565b0154ba3fa6c72e7e,15000.0,7276000000000,993223000000000,3525596000000000,2250.0
14,8a85884e54be33290154c7d802b73042,330000.0,50527000000000,108958000000000,35036952000000000,51750.0
2,8a85886e54101890015410e563b4325b,20000.0,7215000000000,-233959000000000,3569734000000000,4500.0
8,8a85886e54101890015410e5d5c83298,80000.0,70827000000000,11503513000000000,28658567000000000,19500.0
12,8a85886e541018900154117960df41f4,295000.0,43299000000000,-4674172000000000,21533744000000000,38300.0
11,8a85886e5410189001541480d8f83683,260000.0,39709000000000,99283000000000,26792390000000000,38850.0
11,8a85886e5410189001541a3d92df3588,230000.0,39791000000000,-1489378000000000,19922824000000000,31100.0
15,8a85886e54beabf90154bf4062f42d84,350000.0,54211000000000,-3020732000000000,35104088000000000,59150.0
6,8a85886e54beabf90154c3f2f2ba3e59,110000.0,21703000000000,-1344894000000000,17227671000000000,25400.0
